시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
기산면사무소,경상북도,칠곡군,47850,경상북도 칠곡군 기산면 주산로 1213,경상북도 칠곡군 기산면 죽전리 294-13,35.98662402,128.3821793,정문 입구 왼쪽,9:00,18:00,9:00,18:00,9:00,18:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
칠곡종합운동장,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 호국로 203,경상북도 칠곡군 왜관읍 아곡리 670-5,35.99960951,128.423638,정문 입구 왼쪽,9:00,18:00,9:00,18:00,9:00,18:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
칠곡국민체육센터,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 석전로7길 58,경상북도 칠곡군 왜관읍 석전리 473,36.00666888,128.4082377,정문 입구 왼쪽 계단옆,9:00,18:00,9:00,18:00,0:00,0:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
칠곡군립도서관,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 달오1길 6-7,경상북도 칠곡군 왜관읍 왜관리 1543,35.97529557,128.3995161,정문 입구 왼쪽 사무실 앞,9:00,18:00,9:00,18:00,9:00,18:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
어르신의 전당,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 2번도로길 23,경상북도 칠곡군 왜관읍 왜관리 273-1,35.98981598,128.3972621,정문 입구 왼쪽,9:00,18:00,9:00,18:00,0:00,0:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
연수3동 행정복지센터,인천광역시,연수구,28185,인천광역시 연수구 원인재로 283,인천광역시 연수구 연수동 533-2,37.4193036,126.691982,연수3동 행정복지센터,9:00,24:00:00,9:00,24:00:00,9:00,24:00:00,1,N,N,연수3동 행정복지센터,032-749-6264,2020-07-28,3520000,인천광역시 연수구
성동장애인종합복지관,서울특별시,성동구,11200,서울특별시 성동구 청계천로 506,서울특별시 성동구 마장동 527-2,37.57022175,127.0334425,복지관 1층 주차장쪽 (이동보조기기수리센터),9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,성동장애인종합복지관,02-2290-3100,2020-06-05,6110000,서울특별시
서울시립영등포장애인복지관,서울특별시,영등포구,11560,서울특별시 영등포구 버드나루로 22,서울특별시 영등포구 영등포동2가 94-379,37.52085927,126.9129013,복지관,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,서울시립영등포장애인복지관,02-3667-7979,2020-06-05,6110000,서울특별시
도봉장애인자립생활센터,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로 103길 21,서울특별시 도봉구 쌍문동 103-243,37.64491807,127.0309696,IL센터 1층 입구,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,도봉장애인자립생활센터,02-993-6300,2020-06-05,6110000,서울특별시
성동느티나무장애인자립생활센터,서울특별시,성동구,11200,서울특별시 성동구 성수일로10길 33,서울특별시 성동구 성수동2가 289-27,37.54654316,127.0539592,IL센터 916호 입구 앞,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,성동느티나무장애인자립생활센터,02-2296-0551,2020-06-05,6110000,서울특별시
서울시립뇌성마비복지관,서울특별시,노원구,11350,서울특별시 노원구 덕릉로 70가길 96,서울특별시 노원구 상계동 771,37.64244348,127.0565801,복지관 지하 서울시동북보조기기센터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,서울시립뇌성마비복지관,02-932-4412,2020-06-05,6110000,서울특별시
주몽재활원,서울특별시,강동구,11740,서울특별시 강동구 상암로 369,서울특별시 강동구 상일동 179,37.5461974,127.1633749,주몽재활원 3층 캐노피 입구,9:00,18:00,9:00,18:00,9:00,18:00,2,N,Y,주몽재활원,070-8255-0315,2020-06-05,6110000,서울특별시
서울시립남부장애인종합복지관,서울특별시,동작구,11590,서울특별시 동작구 여의대방로 20길 33,서울특별시 동작구 신대방동 722,37.49538106,126.9189142,복지관 출입시 현관 왼쪽편에 설치,9:00,20:00,0:00,0:00,0:00,0:00,2,N,Y,서울시립남부장애인종합복지관,02-829-7112,2020-06-05,6110000,서울특별시
농소1동 행정복지센터,울산광역시,북구,31200,울산광역시 북구 호계2길 10,울산광역시 북구 호계동 874-1,35.62279518,129.3560691,정문입구,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,울산광역시 북구청,052-241-7694,2020-09-22,6310000,울산광역시
농소2동 행정복지센터,울산광역시,북구,31200,울산광역시 북구 찬샘1길 24,울산광역시 북구 신천동 203-2,35.63828969,129.348312,민원인 대기석 옆,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,울산광역시 북구청,052-241-7694,2020-09-22,6310000,울산광역시
강동동 행정복지센터,울산광역시,북구,31200,울산광역시 북구 무룡로 1096,울산광역시 북구 정자동 280-6,35.61282787,129.4456427,정문입구,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,울산광역시 북구청,052-241-7694,2020-09-22,6310000,울산광역시
송정동 행정복지센터,울산광역시,북구,31200,울산광역시 북구 송내14길 41,울산광역시 북구 화봉동 1469,35.59231236,129.365196,정문입구,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,울산광역시 북구청,052-241-7694,2020-09-22,6310000,울산광역시
양정동 행정복지센터,울산광역시,북구,31200,울산광역시 북구 오치골3길 16-1,울산광역시 북구 양정동 488-3,35.54866157,129.3853327,정문입구,9:00,18:00,0:00,0:00,0:00,0:00,1,N,N,울산광역시 북구청,052-241-7694,2020-09-22,6310000,울산광역시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 동로면 벌재장터길 8-7,경상북도 문경시 동로면 적성리 533,36.77337747,128.3149983,동로면행정복지센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8712,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 농암면 농암길 50,경상북도 문경시 농암면 농암리 217-3,36.60070097,128.0034659,농암면행정복지센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8772,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 중앙로 50,경상북도 문경시 모전동 59-2,36.59001856,128.1962876,점촌2동행정복지센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8824,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 공평로 71,경상북도 문경시 공평동 356-3,36.60552708,128.1823019,점촌4동행정복지센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8857,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 문경읍 새재로 932,경상북도 문경시 문경읍 상초리 288-1,36.76160207,128.0769905,문경새재관리사무소,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8363,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 영강공원길 111,경상북도 문경시 흥덕동 47,36.60187237,128.2106504,영강체육공원,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-553-2210,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 시청2길 34,,36.58735753,128.187017,문경시장애인종합복지관,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-556-0042,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 가은읍 가은로 123,,36.64260524,128.0617298,가은읍행정복지센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8552,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 점촌5길 20,,36.59748626,128.1984904,문경시노인복지관,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-8923,2020-07-01,5120000,경상북도 문경시
전동보장구급속충전기,경상북도,문경시,47280,경상북도 문경시 점고길 21,,36.59442917,128.1855788,문경온누리체육센터,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,문경시청,054-550-6093,2020-07-01,5120000,경상북도 문경시
칠곡군장애인종합복지관,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 관문로1길 24-5,경상북도 칠곡군 왜관읍 매원리 692-10,35.99099339,128.4191718,1층 여자화장실 맞은편,9:00,18:00,0:00,0:00,0:00,0:00,4,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
어울림센터,경상북도,칠곡군,47850,경상북도 칠곡군 왜관읍 석전로7길 58-1,경상북도 칠곡군 왜관읍 석전리 473,36.00724838,128.4086163,지체장애인협회 사무실 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
칠곡보사업소,경상북도,칠곡군,47850,경상북도 칠곡군 석적읍 강변대로1555,경상북도 칠곡군 석적읍 중지리 559,36.01561765,128.4009741,정문 입구 왼쪽,9:00,18:00,9:00,18:00,9:00,18:00,2,Y,N,칠곡군청,054-979-6593,2020-07-01,5220000,경상북도 칠곡군
삼방동 장애인복지관,경상남도,김해시,48250,경상남도 김해시 인제로 258 (삼방동),경상남도 김해시 삼방동 572-1,35.25141404,128.9036525,복지관 1층 로비,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,김해시장애인단체연합회,055-335-7970,2020-09-30,5350000,경상남도 김해시
장유1동행정복지센터,경상남도,김해시,48250,경상남도 김해시 금관대로 579 (무계동),경상남도 김해시 무계동 156-7,35.20125646,128.8127538,행정복지센터 입구(외부),9:00,18:00,0:00,23:59,0:00,23:59,2,Y,N,장유1동행정복지센터,055-330-8601,2020-09-30,5350000,경상남도 김해시
회현동행정복지센터,경상남도,김해시,48250,경상남도 김해시 가락로63번길 33 (봉황동),경상남도 김해시 봉황동 301-3,35.23148247,128.8784356,행정복지센터 1층,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,회현동행정복지센터,055-330-8321,2020-09-30,5350000,경상남도 김해시
내외동행정복지센터,경상남도,김해시,48250,경상남도 김해시 내외로 67 (내동),경상남도 김해시 내동 1116-4,35.2350263,128.8652986,행정복지센터 1층,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,내외동행정복지센터,055-330-8366,2020-09-30,5350000,경상남도 김해시
진영한빛도서관,경상남도,김해시,48250,경상남도 김해시 진영읍 김해대로 440,경상남도 김해시 진영읍 여래리 530-2,35.30467825,128.7369112,도서관 1층 로비,9:00,22:00,9:00,18:00,9:00,18:00,2,Y,N,진영한빛도서관,055-330-4831,2020-09-30,5350000,경상남도 김해시
김해복음병원,경상남도,김해시,48250,경상남도 김해시 활천로 33 (삼정동),경상남도 김해시 삼정동 98-17,35.23048904,128.8935474,병원 1층 현관 입구(외부),9:00,18:00,0:00,23:59,0:00,23:59,2,Y,N,김해복음병원,055-330-8888,2020-09-30,5350000,경상남도 김해시
김해서부노인종합복지관,경상남도,김해시,48250,경상남도 김해시 덕정로 115 (관동동),경상남도 김해시 관동동 421-1,35.18008851,128.7979675,노인복지관 현관 입구(외부),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,김해서부노인종합복지관,055-310-4800,2020-09-30,5350000,경상남도 김해시
ktx진영역,경상남도,김해시,48250,경상남도 김해시 진영읍 김해대로 809,경상남도 김해시 진영읍 설창리 131-1,35.29857576,128.7739199,ktx진영역,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,한국철도공사 부산경남본부,055-345-7788,2020-09-30,5350000,경상남도 김해시
경전철 김해시청역,경상남도,김해시,48250,경상남도 김해시 김해대로 2408,경상남도 김해시 부원동 559-1,35.22710304,128.8904107,경전철 김해시청역,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,부산김해경전철주식회사,055-310-9614,2020-09-30,5350000,경상남도 김해시
경전철 수로왕릉역,경상남도,김해시,48250,경상남도 김해시 김해대로 2181,경상남도 김해시 외동 1140-1,35.2328215,128.8721409,경전철 수로왕릉역,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,부산김해경전철주식회사,055-310-9617,2020-09-30,5350000,경상남도 김해시
울산 남구 삼호동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 삼호로 15,울산광역시 남구 무거동 1443-1,35.55000191,129.2660075,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 삼호동 행정복지센터,052-226-2585,2020-09-22,6310000,울산광역시
울산 남구 무거동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 대학로 147번길 38,울산광역시 남구 무거동 1522-2,35.55096443,129.2607178,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 무거동 행정복지센터,052-226-2596,2020-09-22,6310000,울산광역시
울산 남구 옥동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 문수로 369번길 5,울산광역시 남구 옥동 1402-6,35.53527577,129.293872,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 옥동 행정복지센터,052-226-2908,2020-09-22,6310000,울산광역시
울산 남구 야음장생포동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 여천로12번길 50,울산광역시 남구 야음동 370-6,35.52004474,129.3399416,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 야음장생포동 행정복지센터,052-226-2614,2020-09-22,6310000,울산광역시
울산 남구 대현동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 수암로 182,울산광역시 남구 야음동 675-4,35.52652655,129.3267859,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 대현동 행정복지센터,052-226-3481,2020-09-22,6310000,울산광역시
울산 남구 수암동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 중앙로 32,울산광역시 남구 야음동 719-5,35.52440962,129.318471,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 수암동 행정복지센터,052-226-2638,2020-09-22,6310000,울산광역시
울산 남구 선암동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 산업로339번길 17,울산광역시 남구 선암동 180-189,35.51494327,129.3383244,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구 선암동 행정복지센터,052-226-2644,2020-09-22,6310000,울산광역시
울산 남구보건소,울산광역시,남구,31140,울산광역시 남구 삼산중로 132,울산광역시 남구 삼산동 1538-4,35.54535759,129.3363268,출입문 옆,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,울산 남구보건소,052-226-2351,2020-09-22,6310000,울산광역시
성남동주민센터,대전광역시,동구,36400,대전광역시 동구 계족로368번길70(성남동),,36.3445041,127.4374907,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,성남동주민센터,042-259-7537,2020-07-15,3640000,대전광역시 동구
홍도동주민센터,대전광역시,동구,36400,대전광역시 동구 동산초교로34번길56(홍도동),,36.34908053,127.4258279,주민선터 내,9:00,18:00,9:00,13:00,0:00,0:00,2,N,Y,홍도동주민센터,042-259-7578,2020-07-15,3640000,대전광역시 동구
판암2동주민센터,대전광역시,동구,36400,대전광역시 동구 동부로 37(판암동),,36.320403,127.4573789,주민센터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,판암2동주민센터,042-259-7336,2020-07-15,3640000,대전광역시 동구
산내동주민센터,대전광역시,동구,36400,대전광역시 동구 산내로 1326(낭월동),,36.28197035,127.4676436,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,산내동주민센터,042-259-7658,2020-07-15,3640000,대전광역시 동구
중앙동주민센터,대전광역시,동구,36400,대전광역시 동구 대동천우안5길 24(소제동),,36.33460397,127.4388138,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,중앙동주민센터,042-259-7213,2020-07-15,3640000,대전광역시 동구
신인동주민센터,대전광역시,동구,36400,대전광역시 동구 충무로203번길 28-25(인동),,36.32381532,127.437768,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,신인동주민센터,042-259-7243,2020-07-15,3640000,대전광역시 동구
효동주민센터,대전광역시,동구,36400,대전광역시 동구 계족로 24(효동),,36.3170282,127.4418351,주민센터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,효동주민센터,042-259-7272,2020-07-15,3640000,대전광역시 동구
복합터미널,대전광역시,동구,30110,대전광역시 동구 동서대로 1689 (용전동),,36.35031738,127.4366942,복합터미널,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,복합터미널,042-620-0621,2020-07-15,3640000,대전광역시 동구
산내종합사회복지관,대전광역시,동구,36400,대전광역시 동구 산내로 1352-25,,36.28471333,127.4677,복지관 내,9:00,18:00,0:00,0:00,0:00,0:00,4,N,N,산내종합사회복지관,042-272-0591,2020-07-15,3640000,대전광역시 동구
생명종합사회복지관,대전광역시,동구,36400,대전광역시 동구 동부로56-7,,36.3210792,127.4608168,복지관 내,9:00,18:00,9:00,13:00,0:00,0:00,2,N,N,생명종합사회복지관,042-283-9190,2020-07-15,3640000,대전광역시 동구
지하철역사(대전역),대전광역시,동구,36400,대전광역시 동구 중앙로 지하 218,,36.33133404,127.4330064,지하철 역사 내,5:40,23:59,5:40,23:59,5:40,23:59,2,N,N,지하철역사(대전역),042-222-3104,2020-07-15,3640000,대전광역시 동구
지하철역사(판암역),대전광역시,동구,36400,대전광역시 동구 옥천로 지하 162,,36.31697899,127.4584364,지하1층게이트옆,5:00,23:59,5:00,23:59,5:00,23:59,2,N,N,지하철역사(판암역),042-274-3101,2020-07-15,3640000,대전광역시 동구
대전지체장애인협회 동구지회,대전광역시,동구,36400,대전광역시 동구 옥천로 187,,36.3180129,127.4608094,기관 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,대전지체장애인협회 동구지회,042-383-7788,2020-07-15,3640000,대전광역시 동구
지하철역사(대동역),대전광역시,동구,36400,대전광역시 동구 계족로 지하 176,,36.32954595,127.4428865,역사내,5:40,23:59,5:40,23:59,5:40,23:59,2,N,N,지하철역사(대동역),042-539-3603,2020-07-15,3640000,대전광역시 동구
동구아름다운복지관,대전광역시,동구,36400,대전광역시 동구 안골로 49(구도동),,36.26811729,127.4722483,복지관 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,동구아름다운복지관,042-282-9600,2020-07-15,3640000,대전광역시 동구
대전장애우권익문제연구소,대전광역시,동구,36400,대전광역시 동구 대전로 913,,36.33981619,127.4269272,기관 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,대전장애우권익문제연구소,042-672-1482,2020-07-15,3640000,대전광역시 동구
(사)대전장애인인권포럼,대전광역시,동구,36400,대전광역시 동구 옥천로 176번길15-4(판암동)동진프라자 332호,,36.31604297,127.4599988,3층복도,23:59,23:59,23:59,23:59,23:59,23:59,2,N,N,(사)대전장애인인권포럼,042-286-0036,2020-07-15,3640000,대전광역시 동구
대전신체장애인복지회동구지부,대전광역시,동구,36400,대전광역시 동구 동부로 73번길6 (판암동),,36.32254615,127.4608611,기관 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,대전신체장애인복지회동구지부,042-274-4600,2020-07-15,3640000,대전광역시 동구
자양동주민센터,대전광역시,동구,36400,대전광역시 동구 백룡로 16(자양동),,36.3354571,127.4486545,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,1,N,Y,자양동주민센터,042-259-7427,2020-07-15,3640000,대전광역시 동구
가양2동주민센터,대전광역시,동구,36400,대전광역시 동구 흥룡로 33(가양동),,36.3490294,127.4473923,주민선터 내,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,가양2동주민센터,042-259-7486,2020-07-15,3640000,대전광역시 동구
대전역,대전광역시,동구,30110,대전광역시 동구 중앙로 215,,36.33439767,127.43211,대전역,0:00,0:00,0:00,0:00,0:00,0:00,2,Y,Y,대전역,042-259-2580,2020-07-15,3640000,대전광역시 동구
지하철역사(신흥역),대전광역시,동구,30110,"대전광역시 동구 옥천로 70 (판암동, 지하)",,36.33162489,127.4635062,지하철역사(신흥역),5:00,0:00,5:00,0:00,5:00,0:00,2,Y,Y,지하철역사(신흥역),042-539-3602,2020-07-15,3640000,대전광역시 동구
대동사회복지관,대전광역시,동구,30110,대전광역시 동구 백룡로 48번길 79,,36.3304883,127.450198,대동사회복지관,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,대동사회복지관,042-673-8337,2020-07-15,3640000,대전광역시 동구
용운사회복지관,대전광역시,동구,30110,대전광역시 동구 용운로 110,,36.32765599,127.4546989,용운사회복지관,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,Y,용운사회복지관,042-284-5717,2020-07-15,3640000,대전광역시 동구
대전지체장애인협회,대전광역시,동구,30110,"대전광역시 동구 중앙로200번길 66, 1004호 (원동, DMC중앙스퀘어 10층)",,36.32786798,127.4325462,대전지체장애인협회,9:00,18:00,0:00,0:00,0:00,0:00,8,N,N,대전지체장애인협회,042-471-2636,2020-07-15,3640000,대전광역시 동구
동구아름다운복지관,대전광역시,동구,30110,대전광역시 동구 안골로 49,,36.26811729,127.4722483,동구아름다운복지관,9:00,18:00,0:00,0:00,0:00,0:00,4,Y,Y,동구아름다운복지관,042-280-9520,2020-07-15,3640000,대전광역시 동구
삼성동 행정복지센터,대전광역시,동구,30110,대전광역시 동구 태전로 138-12,,36.34059721,127.4221772,삼성동 행정복지센터,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,삼성동 행정복지센터,042-259-7591,2020-07-15,3640000,대전광역시 동구
동구행복한어르신복지관,대전광역시,동구,30110,대전광역시 동구 동부로 23,,36.31941664,127.4563259,동구행복한어르신복지관,9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,동구행복한어르신복지관,042-282-5910,2020-07-15,3640000,대전광역시 동구
수비면행정복지센터,경상북도,영양군,47760,,경상북도 영양군 수비면 발리리 503-1,36.7652222,129.2025629,수비면행정복지센터,9:00,18:00,9:00,18:00,9:00,18:00,1,N,N,영양군청,054-680-6233,2020-07-15,5170000,경상북도 영양군
석보면행정복지센터,경상북도,영양군,47760,,경상북도 영양군 석보면 원리리 292,36.55793456,129.1242948,석보면행정복지센터,9:00,18:00,9:00,18:00,9:00,18:00,1,N,N,영양군청,054-680-6233,2020-07-15,5170000,경상북도 영양군
동부동행정복지센터,경상북도,경산시,47290,경상북도 경산시 원효로34길 12,경상북도 경산시 사동 572-1,35.81937552,128.754256,주차장 왼쪽,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,경상북도 경산시,053-810-5334,2020-06-29,5130000,경상북도 경산시
경산우체국,경상북도,경산시,47290,경상북도 경산시 백자로 130,경상북도 경산시 사동 650-2,35.81634731,128.7591729,입구 왼쪽(외부),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 경산시,053-810-5334,2020-06-29,5130000,경상북도 경산시
경산시립장산도서관,경상북도,경산시,47290,경상북도 경산시 경산로13길 7,경상북도 경산시 옥곡동 821-1,35.81451637,128.7303631,건물 오른쪽 모퉁이,0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 경산시,053-810-5334,2020-06-29,5130000,경상북도 경산시
성암생활체육관,경상북도,경산시,47290,경상북도 경산시 옥산로 25,경상북도 경산시 사정동 86-7,35.8174837,128.7275509,입구 왼쪽(외부),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,경상북도 경산시,053-810-5334,2020-06-29,5130000,경상북도 경산시
향촌문화관,대구광역시,중구,34100,대구광역시 중구 중앙대로 449,,35.8734065,128.5941989,1층 정문입구,9:00,18:00,9:00,18:00,9:00,18:00,1,N,Y,향촌문화관,053-661-2331,2020-07-01,3410000,대구광역시 중구
대봉2동 주민센터,대구광역시,중구,34100,대구광역시 중구 대봉로47길 31,,35.85876069,128.5993685,주민센터 내,9:00,18:00,0:00,0:00,0:00,0:00,1,N,Y,대봉2동 주민센터,053-661-3313,2020-07-01,3410000,대구광역시 중구
대구콘서트하우스,대구광역시,중구,34100,대구광역시 중구 태평로 141,,35.8760471,128.5936973,대구콘서트하우스 그랜드홀 로비(비상문쪽),9:00,18:00,0:00,0:00,0:00,0:00,1,N,Y,콘서트하우스,053-250-1400,2020-07-01,3410000,대구광역시 중구
달성공원관리사무소,대구광역시,중구,34100,대구광역시 중구 달성공원로 35,,35.87339884,128.5759201,관리사무소 입구,0:00,23:59,0:00,23:59,0:00,23:59,1,N,Y,달성공원관리사무소,053-803-7350,2020-07-01,3410000,대구광역시 중구
1호선 중앙로역,대구광역시,중구,34100,대구광역시 중구 중앙대로 424,,35.8709649,128.5940116,"지하2층 화장실 옆(1,2번 출구쪽)",5:30,23:30,5:30,23:30,5:30,23:30,1,N,Y,1호선 중앙로역,053-256-7746,2020-07-01,3410000,대구광역시 중구
2호선 반월당역(2대),대구광역시,중구,34100,대구광역시 중구 달구벌대로 2100,,35.866801,128.590545,환승통로 대합실 내부,5:30,23:30,5:30,23:30,5:30,23:30,1,N,Y,2호선 반월당역(2대),053-255-7735,2020-07-01,3410000,대구광역시 중구
3호선 청라언덕역(2대),대구광역시,중구,34100,대구광역시 중구 남산로 80,,35.86415484,128.5823662,2층 환승 에스컬레이터,5:30,23:30,5:30,23:30,5:30,23:30,1,N,Y,3호선 신남역(2대),053-256-7728,2020-07-01,3410000,대구광역시 중구
대구시지체장애인협회,대구광역시,중구,34100,대구광역시 중구 달성공원로8길 10,,35.87334425,128.5806224,4층 사무실 입구,9:00,18:00,0:00,0:00,0:00,0:00,2,N,Y,대구시지체장애인협회,053-954-0170,2020-07-01,3410000,대구광역시 중구
경북지체장애인협회 경산시지회,경상북도,경산시,47290,경상북도 경산시 경안로30길 18,경상북도 경산시 삼북동 278-2,35.820026,128.740087,건물 1층 복도,0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경북지체장애인협회 경산시지회,053-816-8555,2020-06-29,5130000,경상북도 경산시
경산역,경상북도,경산시,47290,경상북도 경산시 중앙로 1,경상북도 경산시 사정동 84-1,35.81939111,128.7275081,2층 대합실,5:00,23:59,5:00,23:59,5:00,23:59,2,Y,N,경북지체장애인협회 경산시지회,053-816-8555,2020-06-29,5130000,경상북도 경산시
대구도시철도공사 영남대역,경상북도,경산시,47290,경상북도 경산시 대학로 270,경상북도 경산시 대동 201-1,35.83583141,128.7521443,지하1층 고객쉼터,5:00,23:59,5:00,23:59,5:00,23:59,2,Y,N,경북지체장애인협회 경산시지회,053-816-8555,2020-06-29,5130000,경상북도 경산시
대구도시철도공사 임당역,경상북도,경산시,47290,경상북도 경산시 대학로 170,경상북도 경산시 중방동 50-4,35.83401973,128.741388,지하1층 대합실,5:00,23:59,5:00,23:59,5:00,23:59,2,Y,N,경북지체장애인협회 경산시지회,053-816-8555,2020-06-29,5130000,경상북도 경산시
대구도시철도공사 정평역,경상북도,경산시,47290,경상북도 경산시 대학로 60,경상북도 경산시 정평동 144-3,35.83397954,128.7291966,지하1층 대합실,5:00,23:59,5:00,23:59,5:00,23:59,2,Y,N,경북지체장애인협회 경산시지회,053-816-8555,2020-06-29,5130000,경상북도 경산시
